asin,date,priceNew,category
B004VRARQU,2022/05/19,196.98,Desktop-PCs
B004VRARQU,2022/05/20,196.92,Desktop-PCs
B004VRARQU,2022/05/21,194,Desktop-PCs
B004VRARQU,2022/05/22,193.99,Desktop-PCs
B004VRARQU,2022/05/29,194,Desktop-PCs
B004VRARQU,2022/06/01,193.99,Desktop-PCs
B004VRARQU,2022/06/04,194,Desktop-PCs
B004VRARQU,2022/06/08,193.99,Desktop-PCs
B004VRARQU,2022/06/15,194,Desktop-PCs
B004VRARQU,2022/06/16,193.99,Desktop-PCs
B004VRARQU,2022/06/17,194,Desktop-PCs
B004VRARQU,2022/06/18,198,Desktop-PCs
B004VRARQU,2022/06/21,193.6,Desktop-PCs
B004VRARQU,2022/06/22,194,Desktop-PCs
B004VRARQU,2022/06/25,193.99,Desktop-PCs
B004VRARQU,2022/06/28,194,Desktop-PCs
B004VRARQU,2022/07/03,193.99,Desktop-PCs
B004VRARQU,2022/07/06,194,Desktop-PCs
B004VRARQU,2022/07/07,193.99,Desktop-PCs
B004VRARQU,2022/07/09,194,Desktop-PCs
B004VRARQU,2022/07/11,198,Desktop-PCs
B004VRARQU,2022/07/14,194,Desktop-PCs
B004VRARQU,2022/07/15,198,Desktop-PCs
B004VRARQU,2022/07/17,194,Desktop-PCs
B004VRARQU,2022/07/18,198,Desktop-PCs
B004VRARQU,2022/07/20,194,Desktop-PCs
B004VRARQU,2022/07/21,193.99,Desktop-PCs
B004VRARQU,2022/07/22,194,Desktop-PCs
B004VRARQU,2022/07/30,193.99,Desktop-PCs
B004VRARQU,2022/07/31,194,Desktop-PCs
B004VRARQU,2022/08/01,193.99,Desktop-PCs
B004VRARQU,2022/08/07,194,Desktop-PCs
B004VRARQU,2022/08/12,193.99,Desktop-PCs
B004VRARQU,2022/08/15,179,Desktop-PCs
B004VRARQU,2022/08/16,189,Desktop-PCs
B004VRARQU,2022/08/17,188.98,Desktop-PCs
B004VRARQU,2022/08/24,188.99,Desktop-PCs
B004VRARQU,2022/08/26,188.98,Desktop-PCs
B004VRARQU,2022/08/27,188.99,Desktop-PCs
B004VRARQU,2022/08/28,189,Desktop-PCs
B004VRARQU,2022/08/29,188.98,Desktop-PCs
B004VRARQU,2022/08/30,189,Desktop-PCs
B004VRARQU,2022/09/01,179,Desktop-PCs
B004VRARQU,2022/09/04,178.98,Desktop-PCs
B004VRARQU,2022/09/06,178.99,Desktop-PCs
B004VRARQU,2022/09/09,198,Desktop-PCs
B004VRARQU,2022/09/10,169,Desktop-PCs
B004VRARQU,2022/09/13,168.99,Desktop-PCs
B004VRARQU,2022/09/16,197.18,Desktop-PCs
B004VRARQU,2022/09/17,197.57,Desktop-PCs
B004VRARQU,2022/09/19,197.97,Desktop-PCs
B004VRARQU,2022/09/20,197.02,Desktop-PCs
B004VRARQU,2022/09/21,197.28,Desktop-PCs
B004VRARQU,2022/09/22,197.18,Desktop-PCs
B004VRARQU,2022/09/23,197.43,Desktop-PCs
B004VRARQU,2022/09/24,197.37,Desktop-PCs
B004VRARQU,2022/09/25,197.43,Desktop-PCs
B004VRARQU,2022/09/26,197.37,Desktop-PCs
B004VRARQU,2022/09/27,144.3,Desktop-PCs
B004VRARQU,2022/09/28,149,Desktop-PCs
B004VRARQU,2022/09/30,148.98,Desktop-PCs
B004VRARQU,2022/10/01,146,Desktop-PCs
B004VRARQU,2022/10/02,148.39,Desktop-PCs
B004VRARQU,2022/10/03,149,Desktop-PCs
B004VRARQU,2022/10/04,149.3,Desktop-PCs
B004VRARQU,2022/10/05,197.14,Desktop-PCs
B004VRARQU,2022/10/06,197,Desktop-PCs
B004VRARQU,2022/10/07,196.98,Desktop-PCs
B004VRARQU,2022/10/08,197.33,Desktop-PCs
B004VRARQU,2022/10/09,197.21,Desktop-PCs
B004VRARQU,2022/10/10,197.52,Desktop-PCs
B004VRARQU,2022/10/11,197.51,Desktop-PCs
B004VRARQU,2022/10/13,148.4,Desktop-PCs
B004VRARQU,2022/10/14,146,Desktop-PCs
B004VRARQU,2022/10/18,148.7,Desktop-PCs
B004VRARQU,2022/10/19,137.59,Desktop-PCs
B004VRARQU,2022/10/20,137.72,Desktop-PCs
B004VRARQU,2022/10/21,138.19,Desktop-PCs
B004VRARQU,2022/10/22,138.1,Desktop-PCs
B004VRARQU,2022/10/23,138.06,Desktop-PCs
B004VRARQU,2022/10/24,137.96,Desktop-PCs
B004VRARQU,2022/10/25,138.12,Desktop-PCs
B004VRARQU,2022/10/26,138.09,Desktop-PCs
B004VRARQU,2022/10/27,138.1,Desktop-PCs
B004VRARQU,2022/10/28,138.17,Desktop-PCs
B004VRARQU,2022/10/29,138.08,Desktop-PCs
B004VRARQU,2022/10/30,138.04,Desktop-PCs
B004VRARQU,2022/10/31,197.56,Desktop-PCs
B004VRARQU,2022/11/01,197.57,Desktop-PCs
B004VRARQU,2022/11/02,178.99,Desktop-PCs
B004VRARQU,2022/11/03,159,Desktop-PCs
B004VRARQU,2022/11/04,144.01,Desktop-PCs
B004VRARQU,2022/11/05,143.01,Desktop-PCs
B004VRARQU,2022/11/06,148,Desktop-PCs
B004VRARQU,2022/11/08,148.01,Desktop-PCs
B004VRARQU,2022/11/09,140.98,Desktop-PCs
B004VRARQU,2022/11/10,139,Desktop-PCs
B004VRARQU,2022/11/19,148,Desktop-PCs
B004VRARQU,2022/11/22,159,Desktop-PCs
B004VRARQU,2022/11/23,148.01,Desktop-PCs
B004VRARQU,2022/11/24,139,Desktop-PCs
B004VRARQU,2022/11/26,148.99,Desktop-PCs
B004VRARQU,2022/11/27,149,Desktop-PCs
B004VRARQU,2022/11/28,159,Desktop-PCs
B004VRARQU,2022/11/30,158.99,Desktop-PCs
B004VRARQU,2022/12/01,137.46,Desktop-PCs
B004VRARQU,2022/12/02,137.45,Desktop-PCs
B004VRARQU,2022/12/03,137.34,Desktop-PCs
B004VRARQU,2022/12/04,149,Desktop-PCs
B004VRARQU,2022/12/06,148.99,Desktop-PCs
B004VRARQU,2022/12/07,198,Desktop-PCs
B004VRARQU,2022/12/08,134.36,Desktop-PCs
B004VRARQU,2022/12/13,134.33,Desktop-PCs
B004VRARQU,2022/12/14,159,Desktop-PCs
B004VRARQU,2022/12/15,133.99,Desktop-PCs
B004VRARQU,2022/12/16,130.19,Desktop-PCs
B004VRARQU,2022/12/17,133.99,Desktop-PCs
B004VRARQU,2022/12/20,127.44,Desktop-PCs
B004VRARQU,2022/12/21,124,Desktop-PCs
B004VRARQU,2022/12/27,123.99,Desktop-PCs
B004VRARQU,2022/12/28,124,Desktop-PCs
B004VRARQU,2022/12/30,123.99,Desktop-PCs
B00EUUB2RQ,2022/01/03,199,Desktop-PCs
B00EUUB2RQ,2022/01/04,198.99,Desktop-PCs
B00EUUB2RQ,2022/01/08,199,Desktop-PCs
B00EUUB2RQ,2022/01/11,198.99,Desktop-PCs
B00EUUB2RQ,2022/01/13,198.98,Desktop-PCs
B00EUUB2RQ,2022/01/14,198.94,Desktop-PCs
B00EUUB2RQ,2022/01/15,198.88,Desktop-PCs
B00EUUB2RQ,2022/01/16,198.86,Desktop-PCs
B00EUUB2RQ,2022/01/17,199,Desktop-PCs
B00EUUB2RQ,2022/01/18,198.99,Desktop-PCs
B00EUUB2RQ,2022/01/20,198.97,Desktop-PCs
B00EUUB2RQ,2022/01/21,199,Desktop-PCs
B00EUUB2RQ,2022/01/25,195,Desktop-PCs
B00EUUB2RQ,2022/01/26,186.61,Desktop-PCs
B00EUUB2RQ,2022/01/27,176.5,Desktop-PCs
B00EUUB2RQ,2022/01/28,175.8,Desktop-PCs
B00EUUB2RQ,2022/01/29,176.15,Desktop-PCs
B00EUUB2RQ,2022/01/30,172.39,Desktop-PCs
B00EUUB2RQ,2022/01/31,239,Desktop-PCs
B00EUUB2RQ,2022/02/01,173.17,Desktop-PCs
B00EUUB2RQ,2022/02/02,172.75,Desktop-PCs
B00EUUB2RQ,2022/02/03,172.83,Desktop-PCs
B00EUUB2RQ,2022/02/04,172.47,Desktop-PCs
B00EUUB2RQ,2022/02/05,172.37,Desktop-PCs
B00EUUB2RQ,2022/02/06,172.34,Desktop-PCs
B00EUUB2RQ,2022/02/07,172.66,Desktop-PCs
B00EUUB2RQ,2022/02/08,172.18,Desktop-PCs
B00EUUB2RQ,2022/02/09,172.76,Desktop-PCs
B00EUUB2RQ,2022/02/10,187.2,Desktop-PCs
B00EUUB2RQ,2022/02/11,190.57,Desktop-PCs
B00EUUB2RQ,2022/02/12,181,Desktop-PCs
B00EUUB2RQ,2022/02/13,189.79,Desktop-PCs
B00EUUB2RQ,2022/02/14,175.8,Desktop-PCs
B00EUUB2RQ,2022/02/15,176.12,Desktop-PCs
B00EUUB2RQ,2022/02/16,178.86,Desktop-PCs
B00EUUB2RQ,2022/02/17,178.44,Desktop-PCs
B00EUUB2RQ,2022/02/18,177.88,Desktop-PCs
B00EUUB2RQ,2022/02/19,178.95,Desktop-PCs
B00EUUB2RQ,2022/02/20,178.63,Desktop-PCs
B00EUUB2RQ,2022/02/21,178.97,Desktop-PCs
B00EUUB2RQ,2022/02/22,178.62,Desktop-PCs
B00EUUB2RQ,2022/02/23,191.56,Desktop-PCs
B00EUUB2RQ,2022/02/24,194.98,Desktop-PCs
B00EUUB2RQ,2022/02/25,184.1,Desktop-PCs
B00EUUB2RQ,2022/02/26,184.87,Desktop-PCs
B00EUUB2RQ,2022/02/27,190.88,Desktop-PCs
B00EUUB2RQ,2022/02/28,193.07,Desktop-PCs
B00EUUB2RQ,2022/03/01,179,Desktop-PCs
B00EUUB2RQ,2022/03/02,180.31,Desktop-PCs
B00EUUB2RQ,2022/03/03,180.24,Desktop-PCs
B00EUUB2RQ,2022/03/04,179.82,Desktop-PCs
B00EUUB2RQ,2022/03/05,178.99,Desktop-PCs
B00EUUB2RQ,2022/03/06,188.06,Desktop-PCs
B00EUUB2RQ,2022/03/07,184.7,Desktop-PCs
B00EUUB2RQ,2022/03/08,174.37,Desktop-PCs
B00EUUB2RQ,2022/03/09,175.74,Desktop-PCs
B00EUUB2RQ,2022/03/10,176.77,Desktop-PCs
B00EUUB2RQ,2022/03/11,176.4,Desktop-PCs
B00EUUB2RQ,2022/03/12,176.38,Desktop-PCs
B00EUUB2RQ,2022/03/13,175.31,Desktop-PCs
B00EUUB2RQ,2022/03/14,177.04,Desktop-PCs
B00EUUB2RQ,2022/03/15,176.69,Desktop-PCs
B00EUUB2RQ,2022/03/16,176.66,Desktop-PCs
B00EUUB2RQ,2022/03/17,176.64,Desktop-PCs
B00EUUB2RQ,2022/03/18,175.05,Desktop-PCs
B00EUUB2RQ,2022/03/19,175.39,Desktop-PCs
B00EUUB2RQ,2022/03/20,174.34,Desktop-PCs
B00EUUB2RQ,2022/03/21,176.09,Desktop-PCs
B00EUUB2RQ,2022/03/22,174.69,Desktop-PCs
B00EUUB2RQ,2022/03/23,176.77,Desktop-PCs
B00EUUB2RQ,2022/03/24,175.72,Desktop-PCs
B00EUUB2RQ,2022/03/25,172.45,Desktop-PCs
B00EUUB2RQ,2022/03/26,173.04,Desktop-PCs
B00EUUB2RQ,2022/03/28,172.81,Desktop-PCs
B00EUUB2RQ,2022/03/29,167.82,Desktop-PCs
B00EUUB2RQ,2022/03/30,168.92,Desktop-PCs
B00EUUB2RQ,2022/03/31,167.73,Desktop-PCs
B00EUUB2RQ,2022/04/01,168.22,Desktop-PCs
B00EUUB2RQ,2022/04/05,169.63,Desktop-PCs
B00EUUB2RQ,2022/04/06,169.57,Desktop-PCs
B00EUUB2RQ,2022/04/07,169.55,Desktop-PCs
B00EUUB2RQ,2022/04/08,169.53,Desktop-PCs
B00EUUB2RQ,2022/04/09,169.49,Desktop-PCs
B00EUUB2RQ,2022/04/11,169.45,Desktop-PCs
B00EUUB2RQ,2022/04/12,169.43,Desktop-PCs
B00EUUB2RQ,2022/04/13,169.45,Desktop-PCs
B00EUUB2RQ,2022/04/16,169.37,Desktop-PCs
B00EUUB2RQ,2022/04/17,169.35,Desktop-PCs
B00EUUB2RQ,2022/04/20,169.33,Desktop-PCs
B00EUUB2RQ,2022/04/21,176,Desktop-PCs
B00EUUB2RQ,2022/05/04,169,Desktop-PCs
B00EUUB2RQ,2022/05/10,165.65,Desktop-PCs
B00EUUB2RQ,2022/05/11,165.63,Desktop-PCs
B00EUUB2RQ,2022/05/12,165.59,Desktop-PCs
B00EUUB2RQ,2022/05/13,165.57,Desktop-PCs
B00EUUB2RQ,2022/05/14,165.51,Desktop-PCs
B00EUUB2RQ,2022/05/15,165.14,Desktop-PCs
B00EUUB2RQ,2022/05/16,169,Desktop-PCs
B00EUUB2RQ,2022/05/21,167.97,Desktop-PCs
B00EUUB2RQ,2022/05/22,168.23,Desktop-PCs
B00EUUB2RQ,2022/05/23,167.83,Desktop-PCs
B00EUUB2RQ,2022/05/24,167.8,Desktop-PCs
B00EUUB2RQ,2022/05/25,167.65,Desktop-PCs
B00EUUB2RQ,2022/05/26,167.95,Desktop-PCs
B00EUUB2RQ,2022/05/27,167.86,Desktop-PCs
B00EUUB2RQ,2022/05/28,168.05,Desktop-PCs
B00EUUB2RQ,2022/05/29,168,Desktop-PCs
B00EUUB2RQ,2022/05/30,167.91,Desktop-PCs
B00EUUB2RQ,2022/05/31,167.84,Desktop-PCs
B00EUUB2RQ,2022/06/01,167.8,Desktop-PCs
B00EUUB2RQ,2022/06/02,167.4,Desktop-PCs
B00EUUB2RQ,2022/06/03,167.92,Desktop-PCs
B00EUUB2RQ,2022/06/04,167.84,Desktop-PCs
B00EUUB2RQ,2022/06/05,168.76,Desktop-PCs
B00EUUB2RQ,2022/06/06,167.85,Desktop-PCs
B00EUUB2RQ,2022/06/07,167.76,Desktop-PCs
B00EUUB2RQ,2022/06/08,167,Desktop-PCs
B00EUUB2RQ,2022/06/13,164.94,Desktop-PCs
B00EUUB2RQ,2022/06/14,164.93,Desktop-PCs
B00EUUB2RQ,2022/06/15,164.88,Desktop-PCs
B00EUUB2RQ,2022/06/16,175.59,Desktop-PCs
B00EUUB2RQ,2022/06/17,163.99,Desktop-PCs
B00EUUB2RQ,2022/06/18,170.06,Desktop-PCs
B00EUUB2RQ,2022/06/19,218,Desktop-PCs
B00EUUB2RQ,2022/06/21,159.99,Desktop-PCs
B00EUUB2RQ,2022/06/27,157.71,Desktop-PCs
B00EUUB2RQ,2022/06/28,157.64,Desktop-PCs
B00EUUB2RQ,2022/06/29,159.16,Desktop-PCs
B00EUUB2RQ,2022/06/30,157.96,Desktop-PCs
B00EUUB2RQ,2022/07/01,153.5,Desktop-PCs
B00EUUB2RQ,2022/07/02,154.3,Desktop-PCs
B00EUUB2RQ,2022/07/03,152.78,Desktop-PCs
B00EUUB2RQ,2022/07/04,156.78,Desktop-PCs
B00EUUB2RQ,2022/07/05,155.01,Desktop-PCs
B00EUUB2RQ,2022/07/06,158.11,Desktop-PCs
B00EUUB2RQ,2022/07/07,157.75,Desktop-PCs
B00EUUB2RQ,2022/07/08,157.69,Desktop-PCs
B00EUUB2RQ,2022/07/09,157.94,Desktop-PCs
B00EUUB2RQ,2022/07/10,157.9,Desktop-PCs
B00EUUB2RQ,2022/07/11,209.01,Desktop-PCs
B00EUUB2RQ,2022/07/12,218,Desktop-PCs
B00EUUB2RQ,2022/07/14,157.77,Desktop-PCs
B00EUUB2RQ,2022/07/15,218,Desktop-PCs
B00EUUB2RQ,2022/07/17,199,Desktop-PCs
B00EUUB2RQ,2022/07/18,198.96,Desktop-PCs
B00EUUB2RQ,2022/07/20,198.93,Desktop-PCs
B00EUUB2RQ,2022/07/22,199,Desktop-PCs
B00EUUB2RQ,2022/07/25,198.6,Desktop-PCs
B00EUUB2RQ,2022/07/26,158.06,Desktop-PCs
B00EUUB2RQ,2022/07/27,159.08,Desktop-PCs
B00EUUB2RQ,2022/07/28,178.99,Desktop-PCs
B00EUUB2RQ,2022/07/30,179,Desktop-PCs
B00EUUB2RQ,2022/08/01,178.98,Desktop-PCs
B00EUUB2RQ,2022/08/03,139,Desktop-PCs
B00EUUB2RQ,2022/08/04,139.9,Desktop-PCs
B00EUUB2RQ,2022/08/05,141.7,Desktop-PCs
B00EUUB2RQ,2022/08/06,146.03,Desktop-PCs
B00EUUB2RQ,2022/08/07,145.44,Desktop-PCs
B00EUUB2RQ,2022/08/08,146.2,Desktop-PCs
B00EUUB2RQ,2022/08/09,140.01,Desktop-PCs
B00EUUB2RQ,2022/08/11,141.69,Desktop-PCs
B00EUUB2RQ,2022/08/12,158,Desktop-PCs
B00EUUB2RQ,2022/08/13,158.27,Desktop-PCs
B00EUUB2RQ,2022/08/14,158.26,Desktop-PCs
B00EUUB2RQ,2022/08/15,158.2,Desktop-PCs
B00EUUB2RQ,2022/08/16,158.17,Desktop-PCs
B00EUUB2RQ,2022/08/17,145.36,Desktop-PCs
B00EUUB2RQ,2022/08/18,154,Desktop-PCs
B00EUUB2RQ,2022/08/21,139.9,Desktop-PCs
B00EUUB2RQ,2022/08/31,144,Desktop-PCs
B00EUUB2RQ,2022/09/13,143.71,Desktop-PCs
B00EUUB2RQ,2022/09/14,143.56,Desktop-PCs
B00EUUB2RQ,2022/09/15,135,Desktop-PCs
B00EUUB2RQ,2022/09/17,139,Desktop-PCs
B00EUUB2RQ,2022/09/18,144,Desktop-PCs
B00EUUB2RQ,2022/09/20,139,Desktop-PCs
B00EUUB2RQ,2022/10/03,137,Desktop-PCs
B00EUUB2RQ,2022/10/04,138.66,Desktop-PCs
B00EUUB2RQ,2022/10/06,147,Desktop-PCs
B00EUUB2RQ,2022/10/09,148.09,Desktop-PCs
B00EUUB2RQ,2022/10/10,146.01,Desktop-PCs
B00EUUB2RQ,2022/10/11,142,Desktop-PCs
B00EUUB2RQ,2022/10/18,140.88,Desktop-PCs
B00EUUB2RQ,2022/10/19,141.11,Desktop-PCs
B00EUUB2RQ,2022/10/20,141.03,Desktop-PCs
B00EUUB2RQ,2022/10/21,140.98,Desktop-PCs
B00EUUB2RQ,2022/10/22,140.91,Desktop-PCs
B00EUUB2RQ,2022/10/23,141.39,Desktop-PCs
B00EUUB2RQ,2022/10/24,141.08,Desktop-PCs
B00EUUB2RQ,2022/10/25,141,Desktop-PCs
B00EUUB2RQ,2022/10/26,139.99,Desktop-PCs
B00EUUB2RQ,2022/10/27,137.47,Desktop-PCs
B00EUUB2RQ,2022/10/28,139.98,Desktop-PCs
B00EUUB2RQ,2022/10/29,128,Desktop-PCs
B00EUUB2RQ,2022/10/31,165.97,Desktop-PCs
B00EUUB2RQ,2022/11/01,163.54,Desktop-PCs
B00EUUB2RQ,2022/11/02,143,Desktop-PCs
B00EUUB2RQ,2022/11/03,159.59,Desktop-PCs
B00EUUB2RQ,2022/11/04,143,Desktop-PCs
B00EUUB2RQ,2022/11/05,143.01,Desktop-PCs
B00EUUB2RQ,2022/11/06,148.01,Desktop-PCs
B00EUUB2RQ,2022/11/07,147.85,Desktop-PCs
B00EUUB2RQ,2022/11/08,140.66,Desktop-PCs
B00EUUB2RQ,2022/11/09,127.74,Desktop-PCs
B00EUUB2RQ,2022/11/10,128,Desktop-PCs
B00EUUB2RQ,2022/11/11,127.74,Desktop-PCs
B00EUUB2RQ,2022/11/12,127.11,Desktop-PCs
B00EUUB2RQ,2022/11/13,131.02,Desktop-PCs
B00EUUB2RQ,2022/11/14,138,Desktop-PCs
B00EUUB2RQ,2022/11/15,138.01,Desktop-PCs
B00EUUB2RQ,2022/11/18,138,Desktop-PCs
B00EUUB2RQ,2022/11/21,129.11,Desktop-PCs
B00EUUB2RQ,2022/11/22,130.36,Desktop-PCs
B00EUUB2RQ,2022/11/23,132.14,Desktop-PCs
B00EUUB2RQ,2022/11/24,146.36,Desktop-PCs
B00EUUB2RQ,2022/11/25,130,Desktop-PCs
B00EUUB2RQ,2022/11/26,144.39,Desktop-PCs
B00EUUB2RQ,2022/11/27,147.25,Desktop-PCs
B00EUUB2RQ,2022/11/28,148.25,Desktop-PCs
B00EUUB2RQ,2022/11/29,147.25,Desktop-PCs
B00EUUB2RQ,2022/11/30,133.33,Desktop-PCs
B00EUUB2RQ,2022/12/01,133,Desktop-PCs
B00EUUB2RQ,2022/12/03,127.42,Desktop-PCs
B00EUUB2RQ,2022/12/04,147.25,Desktop-PCs
B00EUUB2RQ,2022/12/05,129.55,Desktop-PCs
B00EUUB2RQ,2022/12/06,135.76,Desktop-PCs
B00EUUB2RQ,2022/12/07,148.24,Desktop-PCs
B00EUUB2RQ,2022/12/08,147.24,Desktop-PCs
B00EUUB2RQ,2022/12/09,144,Desktop-PCs
B00EUUB2RQ,2022/12/13,134.01,Desktop-PCs
B00EUUB2RQ,2022/12/14,133.01,Desktop-PCs
B00EUUB2RQ,2022/12/15,128,Desktop-PCs
B00EUUB2RQ,2022/12/16,127,Desktop-PCs
B00EUUB2RQ,2022/12/17,126,Desktop-PCs
B00EUUB2RQ,2022/12/18,133,Desktop-PCs
B00EUUB2RQ,2022/12/19,126.01,Desktop-PCs
B00EUUB2RQ,2022/12/20,123,Desktop-PCs
B00EUUB2RQ,2022/12/29,122.87,Desktop-PCs
B00EUUB2RQ,2022/12/31,122.63,Desktop-PCs
B01N375W9T,2022/03/31,419,Desktop-PCs
B01N375W9T,2022/05/06,379,Desktop-PCs
B01N375W9T,2022/11/22,399,Desktop-PCs
B07PS1KVD1,2022/01/11,175.9,Desktop-PCs
B07PS1KVD1,2022/01/24,175.99,Desktop-PCs
B07PS1KVD1,2022/02/07,149.59,Desktop-PCs
B07PS1KVD1,2022/02/14,175.99,Desktop-PCs
B07PS1KVD1,2022/03/14,149.59,Desktop-PCs
B07PS1KVD1,2022/03/21,175.99,Desktop-PCs
B07PS1KVD1,2022/04/04,149.59,Desktop-PCs
B07PS1KVD1,2022/04/10,175.99,Desktop-PCs
B07PS1KVD1,2022/04/18,149.59,Desktop-PCs
B07PS1KVD1,2022/04/24,175.99,Desktop-PCs
B07PS1KVD1,2022/05/02,149.59,Desktop-PCs
B07PS1KVD1,2022/05/09,175.99,Desktop-PCs
B07PS1KVD1,2022/05/15,149.59,Desktop-PCs
B07PS1KVD1,2022/05/23,175.99,Desktop-PCs
B07PS1KVD1,2022/05/24,164.9,Desktop-PCs
B07PS1KVD1,2022/05/29,140.16,Desktop-PCs
B07PS1KVD1,2022/06/06,164.9,Desktop-PCs
B07PS1KVD1,2022/06/12,140.16,Desktop-PCs
B07PS1KVD1,2022/06/20,164.9,Desktop-PCs
B07PS1KVD1,2022/06/27,140.16,Desktop-PCs
B07PS1KVD1,2022/07/04,164.9,Desktop-PCs
B07PS1KVD1,2022/07/17,136.66,Desktop-PCs
B07PS1KVD1,2022/07/18,164.9,Desktop-PCs
B07PS1KVD1,2022/08/15,140.16,Desktop-PCs
B07PS1KVD1,2022/08/22,164.9,Desktop-PCs
B07PS1KVD1,2022/08/29,140.16,Desktop-PCs
B07PS1KVD1,2022/09/04,164.9,Desktop-PCs
B07PS1KVD1,2022/09/07,170.9,Desktop-PCs
B07PS1KVD1,2022/09/08,164.9,Desktop-PCs
B07PS1KVD1,2022/09/26,159,Desktop-PCs
B07PS1KVD1,2022/10/03,135.15,Desktop-PCs
B07PS1KVD1,2022/10/10,159,Desktop-PCs
B07PS1KVD1,2022/10/16,135.15,Desktop-PCs
B07PS1KVD1,2022/10/23,159,Desktop-PCs
B07PS1KVD1,2022/10/31,135.15,Desktop-PCs
B07PS1KVD1,2022/11/07,159,Desktop-PCs
B07PS1KVD1,2022/12/05,135.15,Desktop-PCs
B07PS1KVD1,2022/12/12,159,Desktop-PCs
B07QN4SBPM,2022/04/27,444,Desktop-PCs
B07QN4SBPM,2022/12/28,399,Desktop-PCs
B07TCC3ZFH,2022/01/01,745.9,Desktop-PCs
B07TCC3ZFH,2022/01/03,684.9,Desktop-PCs
B07TCC3ZFH,2022/01/04,628.9,Desktop-PCs
B07TCC3ZFH,2022/01/07,631.9,Desktop-PCs
B07TCC3ZFH,2022/01/21,632.9,Desktop-PCs
B07TCC3ZFH,2022/01/27,594.9,Desktop-PCs
B07TCC3ZFH,2022/02/03,590.9,Desktop-PCs
B07TCC3ZFH,2022/02/04,576.9,Desktop-PCs
B07TCC3ZFH,2022/02/11,542.9,Desktop-PCs
B07TCC3ZFH,2022/02/15,541.9,Desktop-PCs
B07TCC3ZFH,2022/02/16,543.9,Desktop-PCs
B07TCC3ZFH,2022/03/02,528.9,Desktop-PCs
B07TCC3ZFH,2022/03/03,537.9,Desktop-PCs
B07TCC3ZFH,2022/03/11,544.9,Desktop-PCs
B07TCC3ZFH,2022/03/14,541.9,Desktop-PCs
B07TCC3ZFH,2022/03/16,543.9,Desktop-PCs
B07TCC3ZFH,2022/03/23,549.9,Desktop-PCs
